测点id,测点名称,数值类型,单位,用户,用户代码,通讯协议,测点类型,参数1,参数2,参数3,数据来源用户,数据来源用户代码,数据来源用户通讯协议,数据来源测点,数据去向用户,数据去向用户代码,数据去向用户通讯协议,数据去向测点,参数1,参数2,参数3
FZXT20009-d,起动油路燃油压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,起动油路燃油压力,1,S,FZXT20009_D,
FZXT20010-d,冷却水入口压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,冷却水入口压力,,,,
FZXT20010-d,冷却水入口压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,冷却水入口压力,1,S,FZXT20010_D,
FZXT20011-d,被试泵入口温度,double,℃,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵入口温度,,,,
FZXT20011-d,被试泵入口温度,double,℃,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口温度,1,S,FZXT20011_D,
FZXT20012-d,流量计处回油温度,double,℃,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,流量计处回油温度,,,,
FZXT20012-d,流量计处回油温度,double,℃,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,流量计处回油温度,1,S,FZXT20012_D,
FZXT20013-d,冷却水进口温度,double,℃,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,冷却水进口温度,,,,
FZXT20013-d,冷却水进口温度,double,℃,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,冷却水进口温度,1,S,FZXT20013_D,
FZXT20014-d,FT005燃油流量,double,L/h，kg/h,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,FT005燃油流量,,,,
FZXT20014-d,FT005燃油流量,double,L/h，kg/h,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FT005燃油流量,1,S,FZXT20014_D,
FZXT20015-d,燃油调节阀进出口压差,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,燃油调节阀进出口压差,,,,
FZXT20015-d,燃油调节阀进出口压差,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,燃油调节阀进出口压差,1,S,FZXT20015_D,
